# THE CENSUS: every host cited anywhere in the research lane, by count.
#
# Produced by `bash egress-probe.sh --extract` on 2026-09-18, over 38 topic
# folders across the research branches. Format: count, then host.
#
# RE-RUNNING IT WILL NOT PRINT THE SAME DENOMINATOR, and that is not drift in
# the answer. --extract counts BRANCHES and FILES, and this record's own
# branch adds one of each; the run that produced the file read 38 branches
# and the run made minutes later read 39. The distinct-host count is the
# number that carries the argument and it was 320 in both.
#
# THIS IS NOT AN ALLOWLIST REQUEST. Most of these arrived inside
# search-engine summaries and were never fetched; a large share are
# aggregators and content farms. The curated subset that would actually
# change a finding is hosts-probed.txt, and the argument for each tier is in
# DELIVERY.md. Read this file as "what the deliveries lean on", not as "what
# to open".
#
      1 www.aiandgames.com
      1 www.adamludwiczak.com
      1 www.abo.fi
      1 www.3dmag.com
      1 wireframe.raspberrypi.com
      1 willitrunai.com
      1 wccftech.com
      1 vagon.io
      1 uthana.com
      1 uphabit.com
      1 ubm-twvideo01.s3.amazonaws.com
      1 thief.fandom.com
      1 thenocturnalrambler.blogspot.com
      1 texttolab.com
      1 telnyx.com
      1 techraptor.net
      1 tbreak.com
      1 sunstrikestudios.com
      1 sunlesssea.fandom.com
      1 strategywiki.org
      1 staticctf.ubisoft.com
      1 sportskeeda.com
      1 splintercell.fandom.com
      1 specclear.com
      1 sneakybastards.net
      1 shadows-of-doubt.fandom.com
      1 sevenswords.uk
      1 schedule2019.gdconf.com
      1 schedule.gdconf.com
      1 scalacube.com
      1 rockstarintel.com
      1 respawn.outlookindia.com
      1 researchoutreach.org
      1 research.cs.wisc.edu
      1 race-and-social-justice-review.law.miami.edu
      1 quanticfoundry.com
      1 pubmed.ncbi.nlm.nih.gov
      1 psychology.town
      1 practicetestgeeks.com
      1 pinggy.io
      1 picovoice.ai
      1 outerwilds.ventures
      1 outerwilds.fandom.com
      1 onlinelibrary.wiley.com
      1 nh.outerwildsmods.com
      1 news.ubisoft.com
      1 nap.nationalacademies.org
      1 media.gdcvault.com
      1 madhatgamestudios.itch.io
      1 llmhardware.io
      1 laughingsquid.com
      1 kingdomcomedeliverance-archive.fandom.com
      1 kingdom-come-deliverance.fandom.com
      1 joybit.co.uk
      1 journals.plos.org
      1 intermittentmechanism.blog
      1 interactive.libsyn.com
      1 inara.cz
      1 howtoplayhub.com
      1 haywiremag.com
      1 hamming.ai
      1 hackernoon.com
      1 guides.gamepressure.com
      1 gizmodo.com
      1 gdcvault.com
      1 gamineai.com
      1 gamewith.net
      1 gamerjournalist.com
      1 gameranx.com
      1 gamedesignskills.com
      1 gamecritics.com
      1 futureagi.com
      1 frvr.com
      1 fiveable.me
      1 finance.biggo.com
      1 filmstories.co.uk
      1 featuredcontent.psychonomic.org
      1 evermotion.org
      1 elderscrolls.fandom.com
      1 eis.ucsc.edu
      1 dpa.ky.gov
      1 docs.nvidia.com
      1 docs.evergine.com
      1 deepgram.com
      1 dawnosaur.substack.com
      1 compass.onlinelibrary.wiley.com
      1 community.failbettergames.com
      1 community.cgboost.com
      1 clutchpoints.com
      1 centaur.reading.ac.uk
      1 borisfx.com
      1 book.leveldesignbook.com
      1 bonus-action.com
      1 bo3.gg
      1 aigazine.com
      1 aftermath.site
      1 academic.oup.com
